instant,recency,frequency,monetary
1,730,985,985
2,729,801,801
3,728,1349,1349
4,727,1562,1562
5,726,1600,1600
6,725,1606,1606
7,724,1510,1510
8,723,959,959
9,722,822,822
10,721,1321,1321
11,720,1263,1263
12,719,1162,1162
13,718,1406,1406
14,717,1421,1421
15,716,1248,1248
16,715,1204,1204
17,714,1000,1000
18,713,683,683
19,712,1650,1650
20,711,1927,1927
21,710,1543,1543
22,709,981,981
23,708,986,986
24,707,1416,1416
25,706,1985,1985
26,705,506,506
27,704,431,431
28,703,1167,1167
29,702,1098,1098
30,701,1096,1096
31,700,1501,1501
32,699,1360,1360
33,698,1526,1526
34,697,1550,1550
35,696,1708,1708
36,695,1005,1005
37,694,1623,1623
38,693,1712,1712
39,692,1530,1530
40,691,1605,1605
41,690,1538,1538
42,689,1746,1746
43,688,1472,1472
44,687,1589,1589
45,686,1913,1913
46,685,1815,1815
47,684,2115,2115
48,683,2475,2475
49,682,2927,2927
50,681,1635,1635
51,680,1812,1812
52,679,1107,1107
53,678,1450,1450
54,677,1917,1917
55,676,1807,1807
56,675,1461,1461
57,674,1969,1969
58,673,2402,2402
59,672,1446,1446
60,671,1851,1851
61,670,2134,2134
62,669,1685,1685
63,668,1944,1944
64,667,2077,2077
65,666,605,605
66,665,1872,1872
67,664,2133,2133
68,663,1891,1891
69,662,623,623
70,661,1977,1977
71,660,2132,2132
72,659,2417,2417
73,658,2046,2046
74,657,2056,2056
75,656,2192,2192
76,655,2744,2744
77,654,3239,3239
78,653,3117,3117
79,652,2471,2471
80,651,2077,2077
81,650,2703,2703
82,649,2121,2121
83,648,1865,1865
84,647,2210,2210
85,646,2496,2496
86,645,1693,1693
87,644,2028,2028
88,643,2425,2425
89,642,1536,1536
90,641,1685,1685
91,640,2227,2227
92,639,2252,2252
93,638,3249,3249
94,637,3115,3115
95,636,1795,1795
96,635,2808,2808
97,634,3141,3141
98,633,1471,1471
99,632,2455,2455
100,631,2895,2895
101,630,3348,3348
102,629,2034,2034
103,628,2162,2162
104,627,3267,3267
105,626,3126,3126
106,625,795,795
107,624,3744,3744
108,623,3429,3429
109,622,3204,3204
110,621,3944,3944
111,620,4189,4189
112,619,1683,1683
113,618,4036,4036
114,617,4191,4191
115,616,4073,4073
116,615,4400,4400
117,614,3872,3872
118,613,4058,4058
119,612,4595,4595
120,611,5312,5312
121,610,3351,3351
122,609,4401,4401
123,608,4451,4451
124,607,2633,2633
125,606,4433,4433
126,605,4608,4608
127,604,4714,4714
128,603,4333,4333
129,602,4362,4362
130,601,4803,4803
131,600,4182,4182
132,599,4864,4864
133,598,4105,4105
134,597,3409,3409
135,596,4553,4553
136,595,3958,3958
137,594,4123,4123
138,593,3855,3855
139,592,4575,4575
140,591,4917,4917
141,590,5805,5805
142,589,4660,4660
143,588,4274,4274
144,587,4492,4492
145,586,4978,4978
146,585,4677,4677
147,584,4679,4679
148,583,4758,4758
149,582,4788,4788
150,581,4098,4098
151,580,3982,3982
152,579,3974,3974
153,578,4968,4968
154,577,5312,5312
155,576,5342,5342
156,575,4906,4906
157,574,4548,4548
158,573,4833,4833
159,572,4401,4401
160,571,3915,3915
161,570,4586,4586
162,569,4966,4966
163,568,4460,4460
164,567,5020,5020
165,566,4891,4891
166,565,5180,5180
167,564,3767,3767
168,563,4844,4844
169,562,5119,5119
170,561,4744,4744
171,560,4010,4010
172,559,4835,4835
173,558,4507,4507
174,557,4790,4790
175,556,4991,4991
176,555,5202,5202
177,554,5305,5305
178,553,4708,4708
179,552,4648,4648
180,551,5225,5225
181,550,5515,5515
182,549,5362,5362
183,548,5119,5119
184,547,4649,4649
185,546,6043,6043
186,545,4665,4665
187,544,4629,4629
188,543,4592,4592
189,542,4040,4040
190,541,5336,5336
191,540,4881,4881
192,539,4086,4086
193,538,4258,4258
194,537,4342,4342
195,536,5084,5084
196,535,5538,5538
197,534,5923,5923
198,533,5302,5302
199,532,4458,4458
200,531,4541,4541
201,530,4332,4332
202,529,3784,3784
203,528,3387,3387
204,527,3285,3285
205,526,3606,3606
206,525,3840,3840
207,524,4590,4590
208,523,4656,4656
209,522,4390,4390
210,521,3846,3846
211,520,4475,4475
212,519,4302,4302
213,518,4266,4266
214,517,4845,4845
215,516,3574,3574
216,515,4576,4576
217,514,4866,4866
218,513,4294,4294
219,512,3785,3785
220,511,4326,4326
221,510,4602,4602
222,509,4780,4780
223,508,4792,4792
224,507,4905,4905
225,506,4150,4150
226,505,3820,3820
227,504,4338,4338
228,503,4725,4725
229,502,4694,4694
230,501,3805,3805
231,500,4153,4153
232,499,5191,5191
233,498,3873,3873
234,497,4758,4758
235,496,5895,5895
236,495,5130,5130
237,494,3542,3542
238,493,4661,4661
239,492,1115,1115
240,491,4334,4334
241,490,4634,4634
242,489,5204,5204
243,488,5058,5058
244,487,5115,5115
245,486,4727,4727
246,485,4484,4484
247,484,4940,4940
248,483,3351,3351
249,482,2710,2710
250,481,1996,1996
251,480,1842,1842
252,479,3544,3544
253,478,5345,5345
254,477,5046,5046
255,476,4713,4713
256,475,4763,4763
257,474,4785,4785
258,473,3659,3659
259,472,4760,4760
260,471,4511,4511
261,470,4274,4274
262,469,4539,4539
263,468,3641,3641
264,467,4352,4352
265,466,4795,4795
266,465,2395,2395
267,464,5423,5423
268,463,5010,5010
269,462,4630,4630
270,461,4120,4120
271,460,3907,3907
272,459,4839,4839
273,458,5202,5202
274,457,2429,2429
275,456,2918,2918
276,455,3570,3570
277,454,4456,4456
278,453,4826,4826
279,452,4765,4765
280,451,4985,4985
281,450,5409,5409
282,449,5511,5511
283,448,5117,5117
284,447,4563,4563
285,446,2416,2416
286,445,2913,2913
287,444,3644,3644
288,443,5217,5217
289,442,5041,5041
290,441,4570,4570
291,440,4748,4748
292,439,2424,2424
293,438,4195,4195
294,437,4304,4304
295,436,4308,4308
296,435,4381,4381
297,434,4187,4187
298,433,4687,4687
299,432,3894,3894
300,431,2659,2659
301,430,3747,3747
302,429,627,627
303,428,3331,3331
304,427,3669,3669
305,426,4068,4068
306,425,4186,4186
307,424,3974,3974
308,423,4046,4046
309,422,3926,3926
310,421,3649,3649
311,420,4035,4035
312,419,4205,4205
313,418,4109,4109
314,417,2933,2933
315,416,3368,3368
316,415,4067,4067
317,414,3717,3717
318,413,4486,4486
319,412,4195,4195
320,411,1817,1817
321,410,3053,3053
322,409,3392,3392
323,408,3663,3663
324,407,3520,3520
325,406,2765,2765
326,405,1607,1607
327,404,2566,2566
328,403,1495,1495
329,402,2792,2792
330,401,3068,3068
331,400,3071,3071
332,399,3867,3867
333,398,2914,2914
334,397,3613,3613
335,396,3727,3727
336,395,3940,3940
337,394,3614,3614
338,393,3485,3485
339,392,3811,3811
340,391,2594,2594
341,390,705,705
342,389,3322,3322
343,388,3620,3620
344,387,3190,3190
345,386,2743,2743
346,385,3310,3310
347,384,3523,3523
348,383,3740,3740
349,382,3709,3709
350,381,3577,3577
351,380,2739,2739
352,379,2431,2431
353,378,3403,3403
354,377,3750,3750
355,376,2660,2660
356,375,3068,3068
357,374,2209,2209
358,373,1011,1011
359,372,754,754
360,371,1317,1317
361,370,1162,1162
362,369,2302,2302
363,368,2423,2423
364,367,2999,2999
365,366,2485,2485
366,365,2294,2294
367,364,1951,1951
368,363,2236,2236
369,362,2368,2368
370,361,3272,3272
371,360,4098,4098
372,359,4521,4521
373,358,3425,3425
374,357,2376,2376
375,356,3598,3598
376,355,2177,2177
377,354,4097,4097
378,353,3214,3214
379,352,2493,2493
380,351,2311,2311
381,350,2298,2298
382,349,2935,2935
383,348,3376,3376
384,347,3292,3292
385,346,3163,3163
386,345,1301,1301
387,344,1977,1977
388,343,2432,2432
389,342,4339,4339
390,341,4270,4270
391,340,4075,4075
392,339,3456,3456
393,338,4023,4023
394,337,3243,3243
395,336,3624,3624
396,335,4509,4509
397,334,4579,4579
398,333,3761,3761
399,332,4151,4151
400,331,2832,2832
401,330,2947,2947
402,329,3784,3784
403,328,4375,4375
404,327,2802,2802
405,326,3830,3830
406,325,3831,3831
407,324,2169,2169
408,323,1529,1529
409,322,3422,3422
410,321,3922,3922
411,320,4169,4169
412,319,3005,3005
413,318,4154,4154
414,317,4318,4318
415,316,2689,2689
416,315,3129,3129
417,314,3777,3777
418,313,4773,4773
419,312,5062,5062
420,311,3487,3487
421,310,2732,2732
422,309,3389,3389
423,308,4322,4322
424,307,4363,4363
425,306,1834,1834
426,305,4990,4990
427,304,3194,3194
428,303,4066,4066
429,302,3423,3423
430,301,3333,3333
431,300,3956,3956
432,299,4916,4916
433,298,5382,5382
434,297,4569,4569
435,296,4118,4118
436,295,4911,4911
437,294,5298,5298
438,293,5847,5847
439,292,6312,6312
440,291,6192,6192
441,290,4378,4378
442,289,7836,7836
443,288,5892,5892
444,287,6153,6153
445,286,6093,6093
446,285,6230,6230
447,284,6871,6871
448,283,8362,8362
449,282,3372,3372
450,281,4996,4996
451,280,5558,5558
452,279,5102,5102
453,278,5698,5698
454,277,6133,6133
455,276,5459,5459
456,275,6235,6235
457,274,6041,6041
458,273,5936,5936
459,272,6772,6772
460,271,6436,6436
461,270,6457,6457
462,269,6460,6460
463,268,6857,6857
464,267,5169,5169
465,266,5585,5585
466,265,5918,5918
467,264,4862,4862
468,263,5409,5409
469,262,6398,6398
470,261,7460,7460
471,260,7132,7132
472,259,6370,6370
473,258,6691,6691
474,257,4367,4367
475,256,6565,6565
476,255,7290,7290
477,254,6624,6624
478,253,1027,1027
479,252,3214,3214
480,251,5633,5633
481,250,6196,6196
482,249,5026,5026
483,248,6233,6233
484,247,4220,4220
485,246,6304,6304
486,245,5572,5572
487,244,5740,5740
488,243,6169,6169
489,242,6421,6421
490,241,6296,6296
491,240,6883,6883
492,239,6359,6359
493,238,6273,6273
494,237,5728,5728
495,236,4717,4717
496,235,6572,6572
497,234,7030,7030
498,233,7429,7429
499,232,6118,6118
500,231,2843,2843
501,230,5115,5115
502,229,7424,7424
503,228,7384,7384
504,227,7639,7639
505,226,8294,8294
506,225,7129,7129
507,224,4359,4359
508,223,6073,6073
509,222,5260,5260
510,221,6770,6770
511,220,6734,6734
512,219,6536,6536
513,218,6591,6591
514,217,6043,6043
515,216,5743,5743
516,215,6855,6855
517,214,7338,7338
518,213,4127,4127
519,212,8120,8120
520,211,7641,7641
521,210,6998,6998
522,209,7001,7001
523,208,7055,7055
524,207,7494,7494
525,206,7736,7736
526,205,7498,7498
527,204,6598,6598
528,203,6664,6664
529,202,4972,4972
530,201,7421,7421
531,200,7363,7363
532,199,7665,7665
533,198,7702,7702
534,197,6978,6978
535,196,5099,5099
536,195,6825,6825
537,194,6211,6211
538,193,5905,5905
539,192,5823,5823
540,191,7458,7458
541,190,6891,6891
542,189,6779,6779
543,188,7442,7442
544,187,7335,7335
545,186,6879,6879
546,185,5463,5463
547,184,5687,5687
548,183,5531,5531
549,182,6227,6227
550,181,6660,6660
551,180,7403,7403
552,179,6241,6241
553,178,6207,6207
554,177,4840,4840
555,176,4672,4672
556,175,6569,6569
557,174,6290,6290
558,173,7264,7264
559,172,7446,7446
560,171,7499,7499
561,170,6969,6969
562,169,6031,6031
563,168,6830,6830
564,167,6786,6786
565,166,5713,5713
566,165,6591,6591
567,164,5870,5870
568,163,4459,4459
569,162,7410,7410
570,161,6966,6966
571,160,7592,7592
572,159,8173,8173
573,158,6861,6861
574,157,6904,6904
575,156,6685,6685
576,155,6597,6597
577,154,7105,7105
578,153,7216,7216
579,152,7580,7580
580,151,7261,7261
581,150,7175,7175
582,149,6824,6824
583,148,5464,5464
584,147,7013,7013
585,146,7273,7273
586,145,7534,7534
587,144,7286,7286
588,143,5786,5786
589,142,6299,6299
590,141,6544,6544
591,140,6883,6883
592,139,6784,6784
593,138,7347,7347
594,137,7605,7605
595,136,7148,7148
596,135,7865,7865
597,134,4549,4549
598,133,6530,6530
599,132,7006,7006
600,131,7375,7375
601,130,7765,7765
602,129,7582,7582
603,128,6053,6053
604,127,5255,5255
605,126,6917,6917
606,125,7040,7040
607,124,7697,7697
608,123,7713,7713
609,122,7350,7350
610,121,6140,6140
611,120,5810,5810
612,119,6034,6034
613,118,6864,6864
614,117,7112,7112
615,116,6203,6203
616,115,7504,7504
617,114,5976,5976
618,113,8227,8227
619,112,7525,7525
620,111,7767,7767
621,110,7870,7870
622,109,7804,7804
623,108,8009,8009
624,107,8714,8714
625,106,7333,7333
626,105,6869,6869
627,104,4073,4073
628,103,7591,7591
629,102,7720,7720
630,101,8167,8167
631,100,8395,8395
632,99,7907,7907
633,98,7436,7436
634,97,7538,7538
635,96,7733,7733
636,95,7393,7393
637,94,7415,7415
638,93,8555,8555
639,92,6889,6889
640,91,6778,6778
641,90,4639,4639
642,89,7572,7572
643,88,7328,7328
644,87,8156,8156
645,86,7965,7965
646,85,3510,3510
647,84,5478,5478
648,83,6392,6392
649,82,7691,7691
650,81,7570,7570
651,80,7282,7282
652,79,7109,7109
653,78,6639,6639
654,77,5875,5875
655,76,7534,7534
656,75,7461,7461
657,74,7509,7509
658,73,5424,5424
659,72,8090,8090
660,71,6824,6824
661,70,7058,7058
662,69,7466,7466
663,68,7693,7693
664,67,7359,7359
665,66,7444,7444
666,65,7852,7852
667,64,4459,4459
668,63,22,22
669,62,1096,1096
670,61,5566,5566
671,60,5986,5986
672,59,5847,5847
673,58,5138,5138
674,57,5107,5107
675,56,5259,5259
676,55,5686,5686
677,54,5035,5035
678,53,5315,5315
679,52,5992,5992
680,51,6536,6536
681,50,6852,6852
682,49,6269,6269
683,48,4094,4094
684,47,5495,5495
685,46,5445,5445
686,45,5698,5698
687,44,5629,5629
688,43,4669,4669
689,42,5499,5499
690,41,5634,5634
691,40,5146,5146
692,39,2425,2425
693,38,3910,3910
694,37,2277,2277
695,36,2424,2424
696,35,5087,5087
697,34,3959,3959
698,33,5260,5260
699,32,5323,5323
700,31,5668,5668
701,30,5191,5191
702,29,4649,4649
703,28,6234,6234
704,27,6606,6606
705,26,5729,5729
706,25,5375,5375
707,24,5008,5008
708,23,5582,5582
709,22,3228,3228
710,21,5170,5170
711,20,5501,5501
712,19,5319,5319
713,18,5532,5532
714,17,5611,5611
715,16,5047,5047
716,15,3786,3786
717,14,4585,4585
718,13,5557,5557
719,12,5267,5267
720,11,4128,4128
721,10,3623,3623
722,9,1749,1749
723,8,1787,1787
724,7,920,920
725,6,1013,1013
726,5,441,441
